leg_id,system,mode,cutoff_ps,t_start_ps,t_end_ps,production_origin_ps,production_elapsed_ns,nrep,dG_kcal,dG_err_kcal,replica_ns_elapsed,replica_ns_nominal,source_csv,source_log
9a3a0d5d6b89d9cd,1CHO,complex,4000,2050.0,4000.0,100,3.9,64,-79.95587906890401,0.2166757657337114,249.6,256.0,source_data/budget/legs/9a3a0d5d6b89d9cd/bar_time_series.csv,source_data/budget/legs/9a3a0d5d6b89d9cd/bar1.log
d35d0a1ac2225882,1CHO,partner2,1000,550.0,1000.0,100,0.9,64,-80.88380505955135,0.1494054752145418,57.6,64.0,source_data/budget/legs/d35d0a1ac2225882/bar_time_series.csv,source_data/budget/legs/d35d0a1ac2225882/bar1.log
d35d0a1ac2225882,1CHO,partner2,2000,1050.0,2000.0,100,1.9,64,-81.34717903322783,0.2125270066466697,121.6,128.0,source_data/budget/legs/d35d0a1ac2225882/bar_time_series.csv,source_data/budget/legs/d35d0a1ac2225882/bar1.log
d35d0a1ac2225882,1CHO,partner2,4000,2050.0,4000.0,100,3.9,64,-81.1604450799541,0.1456539849538472,249.6,256.0,source_data/budget/legs/d35d0a1ac2225882/bar_time_series.csv,source_data/budget/legs/d35d0a1ac2225882/bar1.log
faea5b3154b000c5,1CHO,complex,1000,550.0,1000.0,100,0.9,32,18.88906445778945,0.301878512259633,28.8,32.0,source_data/budget/legs/faea5b3154b000c5/bar_time_series.csv,source_data/budget/legs/faea5b3154b000c5/bar1.log
faea5b3154b000c5,1CHO,complex,2000,1050.0,2000.0,100,1.9,32,19.38133745197947,0.195695725847294,60.8,64.0,source_data/budget/legs/faea5b3154b000c5/bar_time_series.csv,source_data/budget/legs/faea5b3154b000c5/bar1.log
faea5b3154b000c5,1CHO,complex,4000,2050.0,4000.0,100,3.9,32,18.960059803526185,0.2165381786911958,124.8,128.0,source_data/budget/legs/faea5b3154b000c5/bar_time_series.csv,source_data/budget/legs/faea5b3154b000c5/bar1.log
3756d608ce381094,1CHO,partner2,1000,550.0,1000.0,100,0.9,32,17.751143359043727,0.1830773306741374,28.8,32.0,source_data/budget/legs/3756d608ce381094/bar_time_series.csv,source_data/budget/legs/3756d608ce381094/bar1.log
3756d608ce381094,1CHO,partner2,2000,1050.0,2000.0,100,1.9,32,17.79746710925061,0.1712513929009333,60.8,64.0,source_data/budget/legs/3756d608ce381094/bar_time_series.csv,source_data/budget/legs/3756d608ce381094/bar1.log
3756d608ce381094,1CHO,partner2,4000,2050.0,4000.0,100,3.9,32,17.829355276656354,0.0988484577124442,124.8,128.0,source_data/budget/legs/3756d608ce381094/bar_time_series.csv,source_data/budget/legs/3756d608ce381094/bar1.log
9c775fe334bf7ecf,1CHO,complex,1000,550.0,1000.0,100,0.9,64,-78.65957234084603,0.3249454210215605,57.6,64.0,source_data/budget/legs/9c775fe334bf7ecf/bar_time_series.csv,source_data/budget/legs/9c775fe334bf7ecf/bar1.log
9c775fe334bf7ecf,1CHO,complex,2000,1050.0,2000.0,100,1.9,64,-78.0504456278505,0.3603707639875982,121.6,128.0,source_data/budget/legs/9c775fe334bf7ecf/bar_time_series.csv,source_data/budget/legs/9c775fe334bf7ecf/bar1.log
9c775fe334bf7ecf,1CHO,complex,4000,2050.0,4000.0,100,3.9,64,-79.45300238367125,0.2099406801201912,249.6,256.0,source_data/budget/legs/9c775fe334bf7ecf/bar_time_series.csv,source_data/budget/legs/9c775fe334bf7ecf/bar1.log
